t_min,Absorbance,Ce_mg_L,qt_mg_g,RE_pct
0,3.46,50.0,0.0,0.0
20,1.77,25.5,7.0,49.0
40,1.35,19.52,8.71,60.96
60,1.0,14.3,10.2,71.4
80,0.75,10.8,11.2,78.4
100,0.58,8.35,11.9,83.3
120,0.49,6.95,12.3,86.1
140,0.46,6.6,12.4,86.8
160,0.43,6.25,12.5,87.5
180,0.43,6.25,12.5,87.5
