dose_g,dose_g_per_L,Ce_mg_L,qe_mg_g,RE_pct
0.05,0.25,40.83,36.68,18.34
0.1,0.5,37.05,25.9,25.9
0.2,1.0,29.87,20.13,40.26
0.3,1.5,23.66,17.56,52.68
0.4,2.0,18.55,15.72,62.9
0.5,2.5,14.9,14.04,70.2
0.6,3.0,11.85,12.72,76.3
0.7,3.5,9.51,11.57,80.98
0.8,4.0,8.9,10.28,82.2
0.9,4.5,8.55,9.21,82.9
1.0,5.0,8.45,8.31,83.1
1.1,5.5,8.2,7.6,83.6
1.2,6.0,8.05,6.99,83.9
1.3,6.5,7.9,6.48,84.2
1.4,7.0,7.85,6.02,84.3
1.5,7.5,7.85,5.62,84.3
